User_id,Test_Books,Recommended,Category_Precision,Category_Recall,F1,Hit
A2SJ11EMIOBLHH,the sea wolf; the sea wolf,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.25,0.4,1,0.7726190476190476
A2VZ11U5DXM8J5,"talk to the hand: the utter bloody rudeness of the world today, or six good reasons to stay home and bolt the door; the innocents abroad","great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22); the good german",0.5,0.3333333333333333,0.4,1,0.8240079365079365
A1U8DHSI18EEJ1,"the worldly philosophers: the lives, times and ideas of the great economic thinkers, seventh edition; the innocents abroad","kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",0.5,0.25,0.3333333333333333,1,0.725
AN0XWUHSHRUG6,"in too deep (the men of t-flac: the wrights, book 4); when he was wicked (bridgerton family series)","great expectations; second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22); the good german",1.0,0.3333333333333333,0.5,1,0.8552579365079365
A36K2N527TXXJN,the lost world; the lost world,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",1.0,0.25,0.4,1,0.804421768707483
AUS5X6IMFLJBD,"visions in death (in death #19); the duke and i (bridgerton series, book 1)","great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",1.0,0.25,0.4,1,0.804421768707483
AN8C7BGR98HLN,shoulder the sky (world war one series); angels in the gloom (world war one series),"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.3333333333333333,0.5,1,0.8388888888888888
A1RKD1I8MW1LG6,half of a yellow sun; september,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",1.0,0.25,0.4,1,0.804421768707483
A22B13EJTZKCTM,"awaken me darkly (alien huntress, book 1); treasure island","great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",1.0,0.25,0.4,1,0.804421768707483
A12HLBWCOXVD8,"the dangerous gentleman (rogues of regent street, book 1); when he was wicked (bridgerton family series)","great expectations; kiss of the night (dark-hunter, book 5); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.3333333333333333,0.5,1,0.8951388888888888
A18MG1GPSEAPE9,great expectations; treasure island,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.25,0.4,1,0.725
A341BG8RMH8QW,with open hands; the true story of the 3 little pigs!,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",0.0,0.0,0.0,0,0.0
A8IPQ1Q1O7YX5,reading like a writer: a guide for people who love books and for those who want to write them (p.s.); man walks into a room,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",0.5,0.25,0.3333333333333333,1,0.804421768707483
A1OX82JPAQLL60,all about braising: the art of uncomplicated cooking; pie: 300 tried-and-true recipes for delicious homemade pie,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",0.0,0.0,0.0,0,0.0
A303U1MOXG5R1F,"talk to the hand: the utter bloody rudeness of the world today, or six good reasons to stay home and bolt the door; adventures of a psychic: a fascinating and inspiring true-life story of one of america's most successful clairvoyants","great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); jane eyre (new windmill); the awakening; hamlet; silas marner; memory in death (in death #22); the good german",0.0,0.0,0.0,0,0.0
AC1K4OQOZ90RS,the awakening; reading like a writer: a guide for people who love books and for those who want to write them (p.s.),"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",0.5,0.25,0.3333333333333333,1,0.7916666666666667
A3KF4IP2MUS8QQ,the true story of the 3 little pigs!; sin city volume 1: the hard goodbye (3rd edition),"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",0.0,0.0,0.0,0,0.0
A3NG3IWQSNNMHD,great expectations; great expectations,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.25,0.4,1,0.725
A1DK5AZMXS1QA3,"long day's journey into night: second edition (yale nota bene); the truth about hillary (clinton): what she knew, when she knew it, and how far she'll go to become president","kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",0.5,0.25,0.3333333333333333,1,0.14285714285714285
A3LKWMM12AF0PU,this side of paradise (library edition); 44 scotland street,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); hamlet; silas marner; memory in death (in death #22); the good german",0.3333333333333333,0.25,0.28571428571428575,1,0.7916666666666667
A2CRUEQ9QIOT70,gun dog: revolutionary rapid training method; true believer (large print),"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",0.5,0.25,0.3333333333333333,1,0.804421768707483
AL6JIT43D8D4Z,"gay science, the (cambridge texts in the history of philosophy); the worldly philosophers: the lives, times and ideas of the great economic thinkers, seventh edition","kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",0.0,0.0,0.0,0,0.0
AJQ1S39GZBKUG,dirt music: library edition; dubliners (dover large print classics),"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22); the good german",1.0,0.3333333333333333,0.5,1,0.8240079365079365
A2BZCHIDR5FTYA,falling awake; march to the stars (prince roger series #3),"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",0.5,0.25,0.3333333333333333,1,0.7726190476190476
A1S8AJIUIO6M9K,terrorist hunter : the extraordinary story of a woman who went undercover to infiltrate the radical islamic groups operating in america; madam secretary: a memoir,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",0.0,0.0,0.0,0,0.0
A1IU7S4HCK1XK0,time enough for love: the lives of lazarus long (part 1 of 2 parts)(library edition); the knitters book of finishing techniques,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",0.5,0.3333333333333333,0.4,1,0.8388888888888888
A1ARA52HB238HT,terrorist hunter : the extraordinary story of a woman who went undercover to infiltrate the radical islamic groups operating in america; great expectations,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",0.5,0.25,0.3333333333333333,1,0.725
A2CVVCODXDVJO6,great expectations; hamlet,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; the awakening; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22); the good german; treasure island",0.5,0.5,0.5,1,0.8412257495590829
