Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
The Rabbi's Cat,"Gaining the ability to speak after swallowing a parakeet, the rabbi's cat uses his newfound talent to tell lies, the consequences of which lead to being banned from contact with the rabbi's daughter and an education in the Torah, despite his preference for the Kabbalah and his desire for a bar mitvah. Mature.",['Joann Sfar'],http://books.google.com/books/content?id=cNQbAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=cNQbAQAAIAAJ&q=The+Rabbi%27s+Cat&dq=The+Rabbi%27s+Cat&hl=&cd=1&source=gbs_api,Pantheon,2005,http://books.google.nl/books?id=cNQbAQAAIAAJ&dq=The+Rabbi%27s+Cat&hl=&source=gbs_api,['Comics & Graphic Novels'],25.0
"Thomas Paine : Collected Writings : Common Sense / The Crisis / Rights of Man / The Age of Reason / Pamphlets, Articles, and Letters (Library of America)","Thomas Paine was the impassioned democratic voice of the Age of Revolution, and this volume brings together his best-known works: Common Sense, The American Crisis, Rights of Man, The Age of Reason, along with a selection of letters, articles and pamphlets that emphasizes Paine's American years. “I know not whether any man in the world,” wrote John Adams in 1805, “has had more influence on its inhabitants or affairs for the last thirty years than Tom Paine.” The impassioned democratic voice of the Age of Revolution, Paine wrote for his mass audience with vigor, clarity, and “common sense.” This Library of America volume is the first major new edition of his work in 50 years, and the most comprehensive single-volume collection of his writings available. Paine came to America in 1774 at age 37 after a life of obscurity and failure in England. Within fourteen months he published Common Sense, the most influential pamphlet for the American Revolution, and began a career that would see him prosecuted in England, imprisoned and nearly executed in France, and hailed and reviled in the American nation he helped create. In Common Sense, Paine set forth an inspiring vision of an independent America as an asylum for freedom and an example of popular self-government in a world oppressed by despotism and hereditary privilege. The American Crisis, begun during “the times that try men’s souls” in 1776, is a masterpiece of popular pamphleteering in which Paine vividly reports current developments, taunts and ridicules British adversaries, and enjoins his readers to remember the immense stakes of their struggle. Among the many other items included in the volume are the combative “Forester” letters, written in a reply to a Tory critic of Common Sense, and several pieces concerning the French Revolution, including an incisive argument against executing Louis XVI. Rights of Man (1791–1792), written in response to Edmund Burke’s attacks on the French Revolution, is a bold vision of an egalitarian society founded on natural rights and unbound by tradition. Paine’s detailed proposal for government assistance to the poor inspired generations of subsequent radicals and reformers. The Age of Reason (1794–1795), Paine’s most controversial work, is an unrestrained assault on the authority of the Bible and a fervent defense of the benevolent God of deism. Included in this volume are a detailed chronology of Paine’s life, informative notes, an essay on the complex printing history of Paine’s work, and an index. LIBRARY OF AMERICA is an independent nonprofit cultural organization founded in 1979 to preserve our nation’s literary heritage by publishing, and keeping permanently in print, America’s best and most significant writing. The Library of America series includes more than 300 volumes to date, authoritative editions that average 1,000 pages in length, feature cloth covers, sewn bindings, and ribbon markers, and are printed on premium acid-free paper that will last for centuries.",['Thomas Paine'],http://books.google.com/books/content?id=2sS8qQBJBaoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=2sS8qQBJBaoC&printsec=frontcover&dq=Thomas+Paine+:+Collected+Writings+:+Common+Sense+/+The+Crisis+/+Rights+of+Man+/+The+Age+of+Reason+/+Pamphlets,+Articles,+and+Letters+(Library+of+America)&hl=&cd=1&source=gbs_api",Library of America,1995-03-01,"http://books.google.nl/books?id=2sS8qQBJBaoC&dq=Thomas+Paine+:+Collected+Writings+:+Common+Sense+/+The+Crisis+/+Rights+of+Man+/+The+Age+of+Reason+/+Pamphlets,+Articles,+and+Letters+(Library+of+America)&hl=&source=gbs_api",['History'],8.0
The Triumph of the Moon: A History of Modern Pagan Witchcraft,"'a brilliant history' The Sunday Times 'makes for riveting reading' The Independent Modern pagan witchcraft is arguably the only fully-formed religion England has given the world, and has now spread across four continents. This second edition of The Triumph of the Moon extensively revises the first full-scale scholarly study of modern pagan witchcraft. Ronald Hutton examines the nature and development of this religion, and offers a history of attitudes to witchcraft, paganism and magic in British society since 1800. Its pages reveal village cunning folk, Victorian ritual magicians, classicists and archaeologists, leaders of woodcraft and scouting movements, Freemasons, and members of rural secret societies. We also find some of the leading figures of English literature, from the Romantic poets to W. B. Yeats, D. H. Lawrence and Robert Graves, as well as the main personalities who have represented pagan witchcraft to the public world since 1950. Thriller writers like Dennis Wheatley, and films and television programmes, get similar coverage, as does tabloid journalism. The material is by its nature often sensational, and care is taken throughout to distinguish fact from fantasy, in a manner not previously applied to most of the stories involved. Meticulously researched, The Triumph of the Moon presents an authoritative insight into an aspect of modern cultural history which has attracted sensational publicity but has hitherto been little understood. This edition incorporates new research carried out by the author as well as research by others who have been inspired by this book over the twenty years since its first publication.",['Ronald Hutton'],http://books.google.com/books/content?id=25OzDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=25OzDwAAQBAJ&printsec=frontcover&dq=The+Triumph+of+the+Moon:+A+History+of+Modern+Pagan+Witchcraft&hl=&cd=1&source=gbs_api,Oxford University Press,2019-10-10,https://play.google.com/store/books/details?id=25OzDwAAQBAJ&source=gbs_api,"['Body, Mind & Spirit']",6.0
Lifetimes: The Beautiful Way to Explain Death to Children,"When the death of a relative, a friend, or a pet happens or is about to happen . . . how can we help a child to understand? Lifetimes is a moving book for children of all ages, even parents too. It lets us explain life and death in a sensitive, caring, beautiful way. Lifetimes tells us about beginnings. And about endings. And about living in between. With large, wonderful illustrations, it tells about plants. About animals. About people. It tells that dying is as much a part of living as being born. It helps us to remember. It helps us to understand. Lifetimes . . . a very special, very important book for you and your child. The book that explains—beautifully—that all living things have their own special Lifetimes.",['Bryan Mellonie'],http://books.google.com/books/content?id=hjape1uPX_AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=hjape1uPX_AC&printsec=frontcover&dq=Lifetimes:+The+Beautiful+Way+to+Explain+Death+to+Children&hl=&cd=1&source=gbs_api,Bantam,2009-09-16,https://play.google.com/store/books/details?id=hjape1uPX_AC&source=gbs_api,['Family & Relationships'],5.0
Manson in His Own Words: The Shocking Confessions of 'The Most Dangerous Man Alive',"Recounts the murders that sent Charles Manson to prison, describes his childhood and life of crime, and includes his feelings concerning his portrayal in the media","['Charles Manson', 'Nuel Emmons']",http://books.google.com/books/content?id=pl3KHfExjN4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=pl3KHfExjN4C&printsec=frontcover&dq=Manson+in+His+Own+Words:+The+Shocking+Confessions+of+%27The+Most+Dangerous+Man+Alive%27&hl=&cd=1&source=gbs_api,Grove Press,1988,http://books.google.nl/books?id=pl3KHfExjN4C&dq=Manson+in+His+Own+Words:+The+Shocking+Confessions+of+%27The+Most+Dangerous+Man+Alive%27&hl=&source=gbs_api,['Biography & Autobiography'],5.0
King Rat,"Japanese POW camp Changi, Singapore: hell on earth for the soldiers contained within its barbed wire walls. Officers and enlisted men, all prisoners together, yet the old hierarchies and rivalries survive. An American corporal, known as the King, has used his personality and wiles to facilitate trading with guards and locals to get needed food, supplies, even information into the camp. The imprisoned upper-class officers have never had to do things for themselves, and now they are reduced to wearing rags while the King’s clean shirt, gained through guts and moxie, seems like luxury in comparison. In the camp, everything has its price and everything is for sale. But trading is illegal—and the King has made a formidable enemy. Robin Grey, the provost marshal, hates the King and all he represents. Grey, though he grew up modestly, fervently believes in the British class system: everyone should know their place, and he knows the King’s place is at the bottom. The King does have a friend in Peter Marlowe, who, though wary of the King and himself a product of the British system, finds himself drawn to the charismatic man who just might be the only one who can save them from both the inhumanity of the prison camp but also from themselves. Powerful and engrossing, King Rat artfully weaves the author’s own World War II prison camp experiences into a compelling narrative of survival amidst the grim realities of war and what men can do when pushed to the edge. A taut masterwork of World War II historical fiction by bestselling author James Clavell.",['James Clavell'],http://books.google.com/books/content?id=GFNuDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=GFNuDwAAQBAJ&printsec=frontcover&dq=King+Rat&hl=&cd=1&source=gbs_api,Blackstone Publishing,2018-09-18,http://books.google.nl/books?id=GFNuDwAAQBAJ&dq=King+Rat&hl=&source=gbs_api,['Fiction'],19.0
The Shadow Of The Lion,"ADVENTURES IN AN OTHER-WORLDLY NEW-AGE VENICE it is the year 1537. The great winged Lion stares over a Venice where magic thrives. The rich Venetian Republic is a bastion of independence and tolerance. Perhaps for that reason, it is also corrupt, and rotten with intrigue. But for the young brothers Marco and Benito Valdosta, vagabond and thief, Venice is simply-home. They have no idea that they stand at the center of the city's coming struggle for its very life. They know nothing of the powerful forces moving in the background. They have barely heard of Chernobog, demonlord of the North, who is shifting his pawns to attack Venice in order to cut into the underbelly of the Holy Roman Empire. All Marco and Benito know is that they're hungry and in dangerous company: Katerina the smuggler, Caesare the sell-sword, Montagnard assassins, church inquisitors, militant Knights of the Holy Trinity, Dottore Marina the Strega mage . . . and Maria. Maria might be an honest canaler, but she had the hottest temper a boy could find. Yet among the dark waters of the canals lurk far worse dangers than a hot-tempered girl. Chernobog has set a monster loose to wreak havoc on the city. Magic, murder and evil are all at work to pull Venice down. Fanatical monks seek to root out true witchcraft with fire and sword. Steel-clad Teutonic knights, wealth traders, church dignitaries and great Princes fight and plot for control of the jewel of the Mediterranean. And somehow all of these, from thieves to mages to princes, must gather around Marco and his brother Benito, under the shadow of the great winged lion of Venice. At the publisher's request, this title is sold without DRM (Digital Rights Management). ""The prolific Lackey and cohorts Flint and Freer whip up a luscious bouillabaisse of politics, intrigue, love and black magic set in an ""Other-worldly, New-Age Venice. . . ."" The authors' use of contemporary American vernacular . . . instead of pompous period speech keeps the pages turning fast. . . ."" ¾Publishers Weekly ""[A] massive concoction of alternate history, high fantasy, and historical romance set in the sixteenth-century Venice of an alternate world . . . rich plotting, vivid characterization, and splendid evocation of Renaissance ethics and culture should make readers turn all the pages."" ¾Booklist "". . . a sweeping alternate history. .. .The authors deftly wield the juxtaposition of fantasy and history into a finely crafted story."" ¾Romantic Times ""[A] top pick . . . fast-paced action and complex, believable settings."" ¾The Bookwatch","['Mercedes Lackey', 'Eric Flint', 'Dave Freer']",http://books.google.com/books/content?id=Z2J0CwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=Z2J0CwAAQBAJ&printsec=frontcover&dq=The+Shadow+Of+The+Lion&hl=&cd=1&source=gbs_api,Baen Publishing Enterprises,2002-03-01,https://play.google.com/store/books/details?id=Z2J0CwAAQBAJ&source=gbs_api,['Fiction'],2.0
The Gluten-Free Bible: The Thoroughly Indispensable Guide to Negotiating Life without Wheat,"The definitive guide to the gluten-free lifestyle, completely revised and updated for the 2.2 million Americans with celiac disease According to a landmark 2003 National Institutes of Health study, 2.2 million Americans suffer from celiac disease, an allergy to the protein gluten found in wheat. Since this book was first published in 1995 (as Against the Grain), Jax Peters Lowell has been helping celiacs follow a gluten-free diet with creativity, resourcefulness, and humor. This edition includes chapters covering - the latest research into celiac disease, and myths that have been debunked - how to eat out happily, including a short course in restaurant assertiveness training - how to eat in happily, including a discussion of online and mail order suppliers and negotiating the supermarket as a celiac - dozens of delicious new recipes - drugs, cosmetics, and other products tested for celiac-safety - a thoroughly updated resource section Tens of thousands of celiacs have already enhanced their lives with Lowell's authoritative, witty, and practical guide. The Gluten-free Bible promises to bring relief to the new gluten-intolerant generation.",['Jax Peters Lowell'],http://books.google.com/books/content?id=9CZAS2sjFxYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=9CZAS2sjFxYC&printsec=frontcover&dq=The+Gluten-Free+Bible:+The+Thoroughly+Indispensable+Guide+to+Negotiating+Life+without+Wheat&hl=&cd=1&source=gbs_api,Holt Paperbacks,2005-04-01,http://books.google.nl/books?id=9CZAS2sjFxYC&dq=The+Gluten-Free+Bible:+The+Thoroughly+Indispensable+Guide+to+Negotiating+Life+without+Wheat&hl=&source=gbs_api,['Health & Fitness'],7.0
Crucial Confrontations,"The authors of the New York Times bestseller Crucial Conversations show you how to achieve personal, team, and organizational success by healing broken promises, resolving violated expectations, and influencing good behavior Discover skills to resolve touchy, controversial, and complex issues at work and at home--now available in this follow-up to the internationally popular Crucial Conversations. Behind the problems that routinely plague organizations and families, you'll find individuals who are either unwilling or unable to deal with failed promises. Others have broken rules, missed deadlines, failed to live up to commitments, or just plain behaved badly--and nobody steps up to the issue. Or they do, but do a lousy job and create a whole new set of problems. Accountability suffers and new problems spring up. New research demonstrates that these disappointments aren't just irritating, they're costly--sapping organizational performance by twenty to fifty percent and accounting for up to ninety percent of divorces. Crucial Confrontations teaches skills drawn from 10,000 hours of real-life observations to increase confidence in facing issues like: An employee speaks to you in an insulting tone that crosses the line between sarcasm and insubordination. Now what? Your boss just committed you to a deadline you know you can't meet--and not-so-subtly hinted he doesn't want to hear complaints about it. Your son walks through the door sporting colorful new body art that raises your blood pressure by forty points. Speak now, pay later. An accountant wonders how to step up to a client who is violating the law. Can you spell unemployment? Family members fret over how to tell granddad that he should no longer drive his car. This is going to get ugly. A nurse worries about what to say to an abusive physician. She quickly remembers ""how things work around here"" and decides not to say anything. Everyone knows how to run for cover, or if adequately provoked, step up to these confrontations in a way that causes a real ruckus. That we have down pat. Crucial Confrontations teaches you how to deal with violated expectations in a way that solves the problem at hand, and doesn't harm the relationship--and in fact, even strengthens it. Crucial Confrontations borrows from twenty years of research involving two groups. More than 25,000 people helped the authors identify those who were most influential during crucial confrontations. They spent 10,000 hours watching these people, documented what they saw, and then trained and tested with more than 300,000 people. Second, they measured the impact of crucial confrontations improvements on organizational and team performance--the results were immediate and sustainable: twenty to fifty percent improvements in measurable performance.","['Kerry Patterson', 'Joseph Grenny', 'Ron McMillan', 'Al Switzler']",http://books.google.com/books/content?id=I1oOcpvsmOkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=I1oOcpvsmOkC&q=Crucial+Confrontations&dq=Crucial+Confrontations&hl=&cd=1&source=gbs_api,McGraw Hill Professional,2004-08-26,http://books.google.nl/books?id=I1oOcpvsmOkC&dq=Crucial+Confrontations&hl=&source=gbs_api,['Business & Economics'],4.0
A Rip in Heaven: A Memoir of Murder And Its Aftermath,"The acclaimed author of American Dirt reveals the devastating effects of a shocking tragedy in this landmark true crime book—the first ever to look intimately at the experiences of both the victims and their families. A Rip in Heaven is Jeanine Cummins’ story of a night in April, 1991, when her two cousins Julie and Robin Kerry, and her brother, Tom, were assaulted on the Old Chain of Rocks Bridge, which spans the Mississippi River just outside of St. Louis. When, after a harrowing ordeal, Tom managed to escape the attackers and flag down help, he thought the nightmare would soon be over. He couldn’t have been more wrong. Tom, his sister Jeanine, and their entire family were just at the beginning of a horrific odyssey through the aftermath of a violent crime, a world of shocking betrayal, endless heartbreak, and utter disillusionment. It was a trial by fire from which no family member would emerge unscathed.",['Jeanine Cummins'],http://books.google.com/books/content?id=605OvBguT_kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=605OvBguT_kC&printsec=frontcover&dq=A+Rip+in+Heaven:+A+Memoir+of+Murder+And+Its+Aftermath&hl=&cd=1&source=gbs_api,Penguin,2004-06-01,https://play.google.com/store/books/details?id=605OvBguT_kC&source=gbs_api,['True Crime'],20.0
